,month,year,region,id,count,title,rank,date,artist,url
859,3,2017,Canada,7qiZfU4dY1lWllzX7mPBI3,31,Shape of You,1,2017-03-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
890,3,2017,Canada,3eR23VReFzcdmS7TYCrhCe,26,It Ain't Me (with Selena Gomez),2,2017-03-01,Kygo,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
916,3,2017,Canada,6RUKPb4LETWmmr3iAEQktW,25,Something Just Like This,3,2017-03-01,"The Chainsmokers, Coldplay",https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
941,3,2017,Canada,0dA2Mk56wEzDgegdC6R17g,24,Stay (with Alessia Cara),6,2017-03-01,Zedd,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
965,3,2017,Canada,3rOSwuTsUlJp0Pu0MkN8r8,19,Mask Off,6,2017-03-08,Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
984,3,2017,United Kingdom,7qiZfU4dY1lWllzX7mPBI3,31,Shape of You,1,2017-03-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
1015,3,2017,United Kingdom,6PCUP3dWmTjcTtXY02oFdT,30,Castle on the Hill,4,2017-03-01,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
1045,3,2017,United Kingdom,0afhq8XCExXpqazXczTSve,29,Galway Girl,2,2017-03-03,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
1074,3,2017,United Kingdom,5HDPtsnyb3maFmPL8LLUTG,23,New Man,4,2017-03-03,Ed Sheeran,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
1097,3,2017,United Kingdom,0tgVpDi06FyKpA1z0VMD4v,20,Perfect,5,2017-03-03,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
1117,3,2017,United States,7qiZfU4dY1lWllzX7mPBI3,29,Shape of You,1,2017-03-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
1146,3,2017,United States,0KKkJNfGyhkQ5aFogxQAPU,26,That's What I Like,7,2017-03-01,Bruno Mars,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
1172,3,2017,United States,2EEeOnHehOozLq4aS0n6SL,26,iSpy (feat. Lil Yachty),2,2017-03-01,KYLE,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
1198,3,2017,United States,4Q3N4Ct4zCuIHuZ65E3BD4,25,Tunnel Vision,9,2017-03-01,Kodak Black,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
1223,3,2017,United States,3rOSwuTsUlJp0Pu0MkN8r8,23,Mask Off,10,2017-03-06,Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
1246,4,2017,Canada,3rOSwuTsUlJp0Pu0MkN8r8,30,Mask Off,4,2017-04-01,Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
1276,4,2017,Canada,7KXjTSCq5nL1LoYtL7XAwS,30,HUMBLE.,3,2017-04-01,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
