,month,year,acoustic,dance,energy,instrumental,loudness,mode,tempo,valence,emotions_id,anger,love,sadness,unemployment
count,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0
mean,6.497219132369299,2019.0011123470522,0.20785606340378196,0.7181145717463849,0.6250478309232482,0.002394315761957731,-6.196139043381534,0.5684093437152391,121.82095216907675,0.5283550611790879,0.5539488320355951,0.17866433947165813,0.25515222420802136,0.0892823173967397,5.494771968854281
std,3.4548863185637884,1.4153937680181035,0.20731507845281508,0.13049539496056278,0.13763998318161108,0.015058514664228811,2.0320348786145352,0.4955737550836833,28.582273094884144,0.2233348794005823,0.5484676788164623,0.20211189206122732,0.34109851512625233,0.16489374654781574,2.1078613667613664
min,1.0,2017.0,0.000282,0.234,0.214,0.0,-14.505,0.0,62.948,0.0605,0.0,0.0027034482918679,0.0015499892178922,0.0006783743738196,3.5
25%,3.5,2018.0,0.0392,0.646,0.523,0.0,-7.4254999999999995,0.0,98.083,0.357,0.0,0.021927322726696702,0.0092458534054458,0.0039577879942953,4.1
50%,6.0,2019.0,0.163,0.737,0.626,0.0,-6.062,1.0,120.042,0.511,1.0,0.1024223938584327,0.0622798837721347,0.011970117688179,4.7
75%,9.5,2020.0,0.289,0.808,0.73,1.31e-05,-4.6795,1.0,142.886,0.693,1.0,0.2941866815090179,0.48721640417352313,0.1003284528851509,6.1
max,12.0,2021.0,0.908,0.975,0.913,0.162,-2.253,1.0,202.899,0.966,2.0,1.691238358616829,1.728966474533081,0.8962397575378418,14.8
